dialog_id,turn_id,user_utterance,intent,book_language,cefr_level,book_topic,learning_goal,price_range,book_format,dm_action,gold_title,nlg_expected
D1,1,"I need a beginner English grammar book.",get_recommendation,en,A1,grammar,general,,paperback,provide_info,"Essential Grammar in Use (4th Ed.)","Here are beginner English grammar options."
D1,2,"Keep it under \$35.",get_recommendation,en,A1,grammar,general,<=35,paperback,provide_info,"Essential Grammar in Use (4th Ed.)","Recommended: Essential Grammar in Use (4th Ed.) at \$32.99."
D1,3,"Looks good, buy it.",checkout,en,A1,grammar,general,<=35,paperback,confirm,"Essential Grammar in Use (4th Ed.)","Confirm purchase of 'Essential Grammar in Use (4th Ed.)'?"
D1,4,"Yes, confirm.",checkout,en,A1,grammar,general,<=35,paperback,provide_info,"Essential Grammar in Use (4th Ed.)","Order placed. A receipt has been sent."
D2,1,"I need B2 exam prep for English.",get_recommendation,en,B2,exam_preparation,exam_preparation,,paperback,provide_info,"Objective First (4th Ed.) Student's Book","Here are B2 exam preparation titles."
D2,2,"Budget under \$55.",get_recommendation,en,B2,exam_preparation,exam_preparation,<=55,paperback,provide_info,"Objective First (4th Ed.) Student's Book","Recommended: Objective First (4th Ed.) at \$49.99."
D3,1,"German A1 coursebook please.",get_recommendation,de,A1,coursebook,general,,paperback,provide_info,"Menschen A1 Kursbuch","Here are A1 German coursebooks."
D3,2,"Which is the standard series?",get_recommendation,de,A1,coursebook,general,,paperback,provide_info,"Menschen A1 Kursbuch","Most standard: Menschen A1 Kursbuch (Hueber)."
D3,3,"I'll take Menschen A1.",checkout,de,A1,coursebook,general,,paperback,confirm,"Menschen A1 Kursbuch","Confirm purchase of 'Menschen A1 Kursbuch'?"
D4,1,"Prepare for Goethe B1 exam.",get_recommendation,de,B1,exam_preparation,exam_preparation,,paperback,provide_info,"Fit fürs Goethe-Zertifikat B1","Here are B1 exam prep materials."
D4,2,"Any B1+ coursebook alternative?",get_recommendation,de,B1,coursebook,general,,paperback,provide_info,"Sicher! B1+ Kursbuch","Alternative coursebook: Sicher! B1+ Kursbuch."
D5,1,"I want French A2 vocabulary.",get_recommendation,fr,A2,vocabulary,general,,paperback,provide_info,"Vocabulaire progressif du français – Débutant","Here are A2 vocabulary titles."
D5,2,"Under \$35.",get_recommendation,fr,A2,vocabulary,general,<=35,paperback,provide_info,"Vocabulaire progressif du français – Débutant","Recommended at about \$31.00."
D6,1,"Advanced French grammar (C1).",get_recommendation,fr,C1,grammar,general,,paperback,provide_info,"Grammaire progressive du français – Avancé","Here are C1 grammar resources."
D6,2,"Ok, show me that.",get_recommendation,fr,C1,grammar,general,,paperback,provide_info,"Grammaire progressive du français – Avancé","Selected: Grammaire progressive du français – Avancé."
D7,1,"Spanish B2 coursebook suggestions.",get_recommendation,es,B2,coursebook,general,,paperback,provide_info,"Aula Internacional 4 (Nueva edición)","Here are B2 Spanish coursebooks."
D7,2,"Any Prisma option?",get_recommendation,es,B2,coursebook,general,,paperback,provide_info,"Nuevo Prisma B2","Alternative: Nuevo Prisma B2."
D8,1,"Chinese HSK 4 preparation book.",get_recommendation,zh,B2,exam_preparation,exam_preparation,,paperback,provide_info,"HSK Standard Course 4","Here are HSK 4 prep materials."
D8,2,"What's the price range?",ask_price,zh,B2,exam_preparation,exam_preparation,,paperback,provide_info,"HSK Standard Course 4","Typical price around \$28.00."
